ID,Start time,Completion time,Email,Name,U1,B1,U2,B2,U3,B3,U4,B4,U5,B5,U6,B6,U7,B7,U8,B8,U9,B9,"How much do you agree with the following statement: I am familiar
with the social media network Twitter.",How often do you use Twitter?,How effective do you believe emojis are at expressing oneâ€™s emotion?,How impactful do you scale the presence of emojis while interpreting messages that you receive?
,,,,,I,I,N,N,N,N,C,C,C,C,I,I,C,C,N,N,I,I,,,,
1,11/30/22 17:49:44,11/30/22 17:51:32,anonymous,,4,3,2,4,7,7,7,7,7,7,7,4,6,6,7,4,7,4,4,Never,5,5
2,11/30/22 17:58:04,11/30/22 18:00:27,anonymous,,3,5,7,6,7,7,7,7,6,6,3,5,7,6,3,4,2,5,5,many times (5 ) per day,4,4
3,11/30/22 18:02:51,11/30/22 18:08:46,anonymous,,2,3,5,6,7,7,6,6,5,4,5,4,5,5,7,6,5,5,1,Never,4,4
4,11/30/22 18:05:43,11/30/22 18:08:58,anonymous,,7,4,7,7,1,3,7,5,7,7,7,5,5,4,3,5,7,7,3,Never,3,5
5,11/30/22 18:07:17,11/30/22 18:09:52,anonymous,,3,4,6,4,6,4,6,3,6,3,5,3,6,5,6,5,6,3,3,Never,4,4
6,11/30/22 18:07:25,11/30/22 18:10:02,anonymous,,3,5,7,4,7,7,7,4,7,5,7,3,7,4,7,4,7,4,5,Never,5,5
7,11/30/22 18:07:36,11/30/22 18:10:35,anonymous,,1,2,6,6,2,1,7,7,7,7,7,7,7,7,7,7,7,7,2,Never,5,5
8,11/30/22 18:10:02,11/30/22 18:12:49,anonymous,,1,1,5,1,1,1,1,7,1,1,7,7,7,7,7,2,5,3,1,Never,4,3
9,11/30/22 18:16:51,11/30/22 18:18:26,anonymous,,1,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,Rarely,4,5
10,11/30/22 18:21:00,11/30/22 18:22:31,anonymous,,5,3,7,1,7,7,7,7,7,7,7,6,7,6,7,2,7,3,2,Never,3,4
11,11/30/22 18:21:00,11/30/22 18:22:32,anonymous,,5,3,7,1,7,7,7,7,7,7,7,6,7,6,7,2,7,3,2,Never,3,4
12,11/30/22 18:20:53,11/30/22 18:23:19,anonymous,,6,6,4,3,6,6,6,6,5,5,6,6,6,6,7,7,5,5,1,Rarely,5,5
13,11/30/22 18:22:08,11/30/22 18:23:53,anonymous,,5,7,1,7,4,4,7,7,7,7,7,2,7,2,7,7,7,2,5,Never,5,5
14,11/30/22 18:23:31,11/30/22 18:26:29,anonymous,,4,6,4,6,2,2,7,7,4,4,4,4,4,4,6,6,4,4,4,Rarely,4,3
15,11/30/22 18:24:57,11/30/22 18:27:31,anonymous,,6,5,7,2,7,6,7,6,7,1,7,7,7,7,7,7,7,1,5,Rarely,5,5
16,11/30/22 18:25:35,11/30/22 18:28:45,anonymous,,5,6,3,4,6,6,7,7,7,7,7,7,7,7,7,4,7,7,1,Never,3,4
17,11/30/22 18:26:55,11/30/22 18:29:09,anonymous,,2,3,7,6,6,5,7,4,7,3,4,3,4,4,4,4,7,4,2,Never,2,2
18,11/30/22 18:32:47,11/30/22 18:35:34,anonymous,,4,4,7,6,7,7,7,2,4,6,7,2,7,7,7,7,4,4,2,Never,4,4
19,11/30/22 18:34:29,11/30/22 18:38:03,anonymous,,6,3,7,7,7,7,7,3,7,2,7,4,7,4,7,6,7,3,3,Rarely,4,5
20,11/30/22 18:35:29,11/30/22 18:39:21,anonymous,,4,5,7,5,7,7,7,6,7,7,6,6,7,7,6,5,6,6,5,many times (5 ) per day,2,2
21,11/30/22 18:37:52,11/30/22 18:40:01,anonymous,,7,4,7,3,7,5,7,6,7,6,7,3,7,4,7,6,7,5,4,Rarely,4,4
22,11/30/22 18:36:37,11/30/22 18:40:06,anonymous,,7,6,7,7,7,5,7,2,4,3,2,2,2,2,2,2,2,2,5,many times (5 ) per day,2,4
23,11/30/22 18:36:02,11/30/22 18:40:31,anonymous,,5,4,6,4,6,4,7,6,7,3,7,5,7,5,7,7,7,4,5,Never,3,4
24,11/30/22 18:40:29,11/30/22 18:43:36,anonymous,,6,5,7,4,7,7,7,5,7,5,6,5,6,5,7,5,7,5,4,Rarely,3,3
25,11/30/22 17:50:54,11/30/22 18:52:35,anonymous,,3,5,6,6,5,5,7,7,6,6,3,2,3,2,7,6,4,6,5,Never,3,3
26,11/30/22 18:59:42,11/30/22 19:02:28,anonymous,,6,6,7,6,5,5,7,6,7,6,7,5,7,7,6,6,6,6,4,Rarely,5,5
27,11/30/22 19:22:30,11/30/22 19:25:00,anonymous,,4,4,7,5,5,5,7,7,2,3,6,5,7,7,7,7,5,4,1,Never,5,5
28,11/30/22 19:23:37,11/30/22 19:25:42,anonymous,,1,1,3,5,7,4,7,6,7,7,6,5,7,7,7,6,7,7,5,Rarely,5,3
29,11/30/22 20:07:49,11/30/22 20:11:41,anonymous,,3,4,5,4,7,6,7,7,7,6,7,5,7,5,7,7,7,5,5,Rarely,3,3
30,11/30/22 20:11:43,11/30/22 20:19:05,anonymous,,6,4,4,5,5,6,6,5,5,3,5,4,6,5,7,7,5,4,3,Never,4,5
31,11/30/22 21:30:49,11/30/22 21:35:25,anonymous,,6,6,5,3,5,5,6,6,6,6,6,5,6,6,4,4,7,7,5,many times (5 ) per day,4,5
32,11/30/22 22:28:49,11/30/22 22:34:50,anonymous,,1,1,7,7,7,7,7,5,7,5,7,4,7,6,7,7,7,3,3,Never,4,4